%time,field.header.seq,field.header.stamp,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1609046839925351162,579,1609046839924956989,-0.000172581621943,-7.85694625538e-05,0.000277510310058,0.0,0.0,0.0,1.0
1609046839974326522,580,1609046839973895025,0.0001846276358,-5.7536085647e-05,0.00028240476956,0.0,0.0,0.0,1.0
1609046840023148053,581,1609046840022637081,8.69913851922e-05,-0.000152638472905,0.000187186682934,0.0,0.0,0.0,1.0
1609046840072981736,582,1609046840072735023,0.000160573768831,-0.000176721047142,0.000255687028353,0.0,0.0,0.0,1.0
1609046840121933921,583,1609046840121411037,0.000108786878769,-8.17180853616e-05,0.000188995020398,0.0,0.0,0.0,1.0
1609046840175005923,584,1609046840174370002,0.000163182541034,-4.68698222775e-05,0.000107620743421,0.0,0.0,0.0,1.0
1609046840223941080,585,1609046840223540973,0.000122707915438,-5.5868126223e-05,0.000178399690888,0.0,0.0,0.0,1.0
1609046840270970550,586,1609046840270759057,0.000233122035826,-0.000121135694121,0.000152659546069,0.0,0.0,0.0,1.0
1609046840323973277,587,1609046840323651027,0.000158462488024,-5.12167760629e-05,0.000113882355464,0.0,0.0,0.0,1.0
1609046840371434522,588,1609046840371103954,0.00019201444173,8.02072368877e-06,8.64944335461e-05,0.0,0.0,0.0,1.0
1609046840422718102,589,1609046840422040891,-4.96929377647e-07,-3.1040499282e-05,0.000203791741338,0.0,0.0,0.0,1.0
1609046840474248356,590,1609046840473989915,0.000149206682128,-0.000221856473603,2.82108465317e-05,0.0,0.0,0.0,1.0
1609046840522659861,591,1609046840522263002,5.5615970048e-05,-0.000159033552402,0.00024240472294,0.0,0.0,0.0,1.0
1609046840572474443,592,1609046840572076034,-6.09375816225e-05,-0.000144279863612,0.000249185605687,0.0,0.0,0.0,1.0
1609046840623342432,593,1609046840622775983,9.94168016781e-05,-0.000336613203899,0.000274242919868,0.0,0.0,0.0,1.0
1609046840673073339,594,1609046840672587108,0.000140342739009,-0.000202779106418,0.000278039012287,0.0,0.0,0.0,1.0
1609046840726350441,595,1609046840724960994,1.80432530321e-05,-0.000174965351102,8.19192180703e-05,0.0,0.0,0.0,1.0
1609046840770953087,596,1609046840770633888,3.7990763726e-05,-0.000170052572631,4.73253613542e-05,0.0,0.0,0.0,1.0
1609046840822374642,597,1609046840822104883,1.08339693519e-05,-0.000335291485619,0.000220237462898,0.0,0.0,0.0,1.0
1609046840871098692,598,1609046840870809984,3.80580394648e-05,-0.000157143001871,5.49986104481e-05,0.0,0.0,0.0,1.0
1609046840923226451,599,1609046840922810983,8.47240229973e-05,-0.000188733724947,0.000169647419007,0.0,0.0,0.0,1.0
1609046840974450552,600,1609046840974035930,0.000142001503402,-4.24632171718e-05,0.000150168187655,0.0,0.0,0.0,1.0
1609046841020866262,601,1609046841020522069,0.000139492120329,-4.20720152334e-05,0.000155129857301,0.0,0.0,0.0,1.0
1609046841072603301,602,1609046841072194051,0.000216792224698,-8.51889156834e-05,0.000205128712432,0.0,0.0,0.0,1.0
1609046841123722264,603,1609046841123330068,0.000167517966442,-0.000225670509543,-8.57431326473e-06,0.0,0.0,0.0,1.0
1609046841173800122,604,1609046841173305940,6.83060479503e-05,-0.000206822286554,0.000189634346928,0.0,0.0,0.0,1.0
1609046841223316030,605,1609046841223003101,7.02936259458e-05,-0.000187292565609,0.000197691495323,0.0,0.0,0.0,1.0
1609046841272604741,606,1609046841271548938,6.38866435807e-05,-0.000182149538492,0.000212863691216,0.0,0.0,0.0,1.0
1609046841322918454,607,1609046841322617959,5.98667499041e-05,-0.000181480211239,0.000220837830183,0.0,0.0,0.0,1.0
1609046841377098214,608,1609046841376768064,-2.36211818532e-05,-0.000127903845058,0.000188810541431,0.0,0.0,0.0,1.0
1609046841429605242,609,1609046841428889942,-2.91931023888e-05,-0.000130103589107,0.000197973759594,0.0,0.0,0.0,1.0
1609046841476734563,610,1609046841476072978,-5.17614147455e-05,-0.000123429844058,0.000466118123605,0.0,0.0,0.0,1.0
1609046841522281567,611,1609046841521974039,4.34107830642e-05,-0.000231598228957,0.000443157300507,0.0,0.0,0.0,1.0
1609046841571880816,612,1609046841571499061,-0.000148946122415,-0.000270775723802,0.000338484095531,0.0,0.0,0.0,1.0
1609046841624421710,613,1609046841623732995,-0.000134666413455,-0.000258758868391,0.000318854643915,0.0,0.0,0.0,1.0
1609046841671685499,614,1609046841671352100,-7.00801378173e-06,-0.000158209069788,0.000360828906215,0.0,0.0,0.0,1.0
