%time,field.header.seq,field.header.stamp,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1609060363469641381,2734,1609060363469351911,0.000352647179334,-0.000128287925993,-0.000155817087489,0.0,0.0,0.0,1.0
1609060363517929121,2735,1609060363517702007,0.000266304851788,2.46035072351e-05,-3.27642931417e-05,0.0,0.0,0.0,1.0
1609060363568476157,2736,1609060363568032884,0.000273958016813,2.32879262043e-05,-4.33157030884e-05,0.0,0.0,0.0,1.0
1609060363617083982,2737,1609060363616619968,0.000455122074726,4.57262354701e-05,-0.000206091919416,0.0,0.0,0.0,1.0
1609060363669560526,2738,1609060363669232034,0.000322823949912,-4.83567539469e-05,6.75101414416e-06,0.0,0.0,0.0,1.0
1609060363717712707,2739,1609060363717437887,0.000309158089735,-5.69169434002e-05,7.87981877792e-06,0.0,0.0,0.0,1.0
1609060363769363382,2740,1609060363769132995,0.000313077357109,-5.6830624203e-05,3.71032373536e-06,0.0,0.0,0.0,1.0
1609060363817138720,2741,1609060363816620969,0.000357567428022,-0.000119009569413,-0.000146163293024,0.0,0.0,0.0,1.0
1609060363869748146,2742,1609060363869218969,0.000265599040983,1.98402431693e-05,-3.97217635779e-05,0.0,0.0,0.0,1.0
1609060363919265661,2743,1609060363918718004,0.00045098674229,3.4524764196e-05,3.88971390208e-07,0.0,0.0,0.0,1.0
1609060363969149860,2744,1609060363968428993,0.000272344677736,2.07699057313e-05,-4.56298988532e-05,0.0,0.0,0.0,1.0
1609060364019930489,2745,1609060364018787050,0.000364011714215,-0.000124076112762,-0.000161475255833,0.0,0.0,0.0,1.0
1609060364068081691,2746,1609060364067788028,0.000268083643945,2.2408751196e-05,-3.82836417643e-05,0.0,0.0,0.0,1.0
1609060364119651857,2747,1609060364119419956,0.000327209795749,-4.44057200859e-05,8.34317916443e-06,0.0,0.0,0.0,1.0
1609060364167104507,2748,1609060364166568899,0.000259032073167,1.88302793518e-05,-3.41404649582e-05,0.0,0.0,0.0,1.0
1609060364220951353,2749,1609060364220535898,0.000351739520976,-0.000123126199647,-0.000146438613001,0.0,0.0,0.0,1.0
1609060364270589825,2750,1609060364269806051,0.0004495158196,6.55559326255e-05,-0.000167732342025,0.0,0.0,0.0,1.0
1609060364318863706,2751,1609060364317872905,0.000410911334111,0.000120631429432,-3.5863379324e-05,0.0,0.0,0.0,1.0
1609060364370150214,2752,1609060364369444990,0.000506973981782,-2.2316880866e-05,-0.000153461170104,0.0,0.0,0.0,1.0
1609060364419332471,2753,1609060364418934011,0.000302656387621,-5.28056102915e-05,-0.000198416199478,0.0,0.0,0.0,1.0
1609060364470781436,2754,1609060364470549964,0.000306290088567,-5.94717256206e-05,-0.000213234677066,0.0,0.0,0.0,1.0
1609060364517141943,2755,1609060364516580963,0.000320214791351,-6.1599936501e-05,-0.000232001421537,0.0,0.0,0.0,1.0
1609060364569654803,2756,1609060364568826103,0.000270386100699,4.29958858206e-06,-7.02172245575e-05,0.0,0.0,0.0,1.0
1609060364619365514,2757,1609060364618486070,0.000364371774836,-0.000146096985883,2.24963453057e-05,0.0,0.0,0.0,1.0
1609060364667226063,2758,1609060364666870021,0.000403414687032,9.13643033158e-05,-7.51379791204e-05,0.0,0.0,0.0,1.0
1609060364719482014,2759,1609060364718618059,0.000473404606918,3.11656000633e-05,-2.97154849491e-05,0.0,0.0,0.0,1.0
1609060364766943985,2760,1609060364766617918,0.000310502916406,-4.64236317015e-05,-0.000196682587749,0.0,0.0,0.0,1.0
